timestamp,volume,open,high,low,close
20250929 18:37:30 America/Denver,-1,57.5,57.5,57.5,57.5
20250929 18:37:45 America/Denver,-1,57.5,57.5,57.5,57.5
20250929 18:38:00 America/Denver,-1,57.5,57.85,57.5,57.85
20250929 18:38:15 America/Denver,-1,57.85,57.85,57.85,57.85
20250929 18:38:30 America/Denver,-1,57.85,57.85,57.85,57.85
20250929 18:38:45 America/Denver,-1,57.85,57.85,57.8,57.8
20250929 18:39:00 America/Denver,-1,57.8,57.8,57.65,57.65
20250929 18:39:15 America/Denver,-1,57.65,57.65,56.1,57.2
20250929 18:39:30 America/Denver,-1,57.2,57.35,57.2,57.35
20250929 18:39:45 America/Denver,-1,57.35,57.65,57.35,57.65
20250929 18:40:00 America/Denver,-1,57.65,57.85,57.65,57.85
20250929 18:40:15 America/Denver,-1,57.85,57.95,57.85,57.95
20250929 18:40:30 America/Denver,-1,57.95,57.95,57.95,57.95
20250929 18:40:45 America/Denver,-1,57.95,58.7,57.95,58.3
20250929 18:41:00 America/Denver,-1,58.3,58.3,57.05,57.9
20250929 18:41:15 America/Denver,-1,57.9,57.9,57.9,57.9
20250929 18:41:30 America/Denver,-1,57.9,57.9,57.85,57.85
20250929 18:41:45 America/Denver,-1,57.85,57.85,57.25,57.45
20250929 18:42:00 America/Denver,-1,57.45,57.45,57.45,57.45
20250929 18:42:15 America/Denver,-1,57.45,57.45,57.45,57.45
20250929 18:42:30 America/Denver,-1,57.45,57.45,57.45,57.45
20250929 18:42:45 America/Denver,-1,57.45,57.45,57.3,57.3
20250929 18:43:00 America/Denver,-1,57.3,57.3,57.3,57.3
20250929 18:43:15 America/Denver,-1,57.3,57.3,57.3,57.3
20250929 18:43:30 America/Denver,-1,57.3,57.4,57.3,57.4
20250929 18:43:45 America/Denver,-1,57.4,57.4,57.4,57.4
20250929 18:44:00 America/Denver,-1,57.4,57.75,57.4,57.75
20250929 18:44:15 America/Denver,-1,57.75,57.75,57.75,57.75
20250929 18:44:30 America/Denver,-1,57.75,57.75,57.7,57.7
20250929 18:44:45 America/Denver,-1,57.7,57.7,57.7,57.7
20250929 18:45:00 America/Denver,-1,57.7,57.7,57.7,57.7
20250929 18:45:15 America/Denver,-1,57.7,57.9,57.7,57.9
20250929 18:45:30 America/Denver,-1,57.9,57.9,57.85,57.85
20250929 18:45:45 America/Denver,-1,57.85,57.85,57.85,57.85
20250929 18:46:00 America/Denver,-1,57.85,57.85,57.85,57.85
20250929 18:46:15 America/Denver,-1,57.85,57.85,56.6,57.8
20250929 18:46:30 America/Denver,-1,57.8,57.8,57.8,57.8
20250929 18:46:45 America/Denver,-1,57.8,57.8,57.8,57.8
20250929 18:47:00 America/Denver,-1,57.8,57.8,57.8,57.8
20250929 18:47:15 America/Denver,-1,57.8,57.8,57.8,57.8
20250929 18:47:30 America/Denver,-1,57.8,58.8,57.2,57.35
20250929 18:47:45 America/Denver,-1,57.35,57.85,57.35,57.85
20250929 18:48:00 America/Denver,-1,57.85,58.5,57.85,58.5
20250929 18:48:15 America/Denver,-1,58.5,60.3,58.5,59.0
20250929 18:48:30 America/Denver,-1,59.0,59.3,58.3,59.1
20250929 18:48:45 America/Denver,-1,59.1,59.1,59.1,59.1
20250929 18:49:00 America/Denver,-1,59.1,59.1,57.6,58.6
20250929 18:49:15 America/Denver,-1,58.6,58.65,58.6,58.65
20250929 18:49:30 America/Denver,-1,58.65,58.7,58.65,58.7
20250929 18:49:45 America/Denver,-1,58.7,58.85,58.7,58.85
20250929 18:50:00 America/Denver,-1,58.85,59.3,58.85,59.3
20250929 18:50:15 America/Denver,-1,59.3,59.3,59.3,59.3
20250929 18:50:30 America/Denver,-1,59.3,59.4,59.15,59.15
20250929 18:50:45 America/Denver,-1,59.15,59.15,59.15,59.15
20250929 18:51:00 America/Denver,-1,59.15,59.8,59.15,59.6
20250929 18:51:15 America/Denver,-1,59.6,59.6,59.6,59.6
20250929 18:51:30 America/Denver,-1,59.6,59.6,59.2,59.2
20250929 18:51:45 America/Denver,-1,59.2,59.3,59.2,59.3
